time/fps,rollout/success rate,rollout/ep_len_mean,time/time_elapsed,time/total timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
97,0.0,4000.0,41,4000,1,-2781.595864,,,,
101,0.0,4000.0,78,8000,2,-5033.974461,,,,
102,0.0,4000.0,117,12000,3,-6917.488726333333,,,,
102,0.0,4000.0,155,16000,4,-7146.4518245,,,,
103,0.0,4000.0,193,20000,5,-6303.9427116,,,,
103,0.0,4000.0,232,24000,6,-6183.922255500001,,,,
103,0.0,4000.0,270,28000,7,-5816.4134,,,,
103,0.0,4000.0,309,32000,8,-5493.73498125,,,,
103,0.0,4000.0,347,36000,9,-5441.465341444444,,,,
103,0.0,4000.0,384,40000,10,-5261.6735446,,,,
104,0.0,4000.0,423,44000,11,-5117.681929454546,,,,
104,0.0,4000.0,460,48000,12,-5016.10357475,,,,
104,0.0,4000.0,499,52000,13,-5452.781265615385,,,,
104,0.0,4000.0,537,56000,14,-5252.190165285714,,,,
104,0.0,4000.0,574,60000,15,-4979.9054334,,,,
104,0.0,4000.0,612,64000,16,-4873.7752041875,,,,
104,0.0,4000.0,650,68000,17,-4703.821364647059,,,,
104,0.0,4000.0,688,72000,18,-4528.695209722222,,,,
104,0.0,4000.0,726,76000,19,-4529.223068526316,,,,
104,0.0,4000.0,764,80000,20,-4997.801173149999,,,,
104,0.0,4000.0,802,84000,21,-5010.665629619047,,,,
104,0.0,4000.0,839,88000,22,-4888.322910454545,,,,
104,0.0,4000.0,878,92000,23,-4843.825414130434,,,,
104,0.0,4000.0,916,96000,24,-4898.420702,,,,
104,0.0,4000.0,955,100000,25,-4947.1161536,,,,
104,0.0,4000.0,993,104000,26,-4932.8120479230765,,,,
104,0.0,4000.0,1031,108000,27,-4802.7683923333325,,,,
104,0.0,4000.0,1070,112000,28,-4945.997574142857,,,,
104,0.0,4000.0,1108,116000,29,-5041.252445689655,,,,
104,0.0,4000.0,1146,120000,30,-5153.469922233333,,,,
104,0.0,4000.0,1184,124000,31,-5128.41479083871,,,,
104,0.0,4000.0,1221,128000,32,-5118.5731286875,,,,
104,0.0,4000.0,1259,132000,33,-5099.342866696969,,,,
104,0.0,4000.0,1297,136000,34,-5020.938495441176,,,,
104,0.0,4000.0,1336,140000,35,-5125.973116514286,,,,
104,0.0,4000.0,1374,144000,36,-5165.218060527778,,,,
104,0.0,4000.0,1411,148000,37,-5077.703522108108,,,,
104,0.0,4000.0,1449,152000,38,-5055.493457473684,,,,
104,0.0,4000.0,1487,156000,39,-4999.366777051282,,,,
104,0.0,4000.0,1525,160000,40,-4916.983705324999,,,,
104,0.0,4000.0,1575,164000,41,-5748.008387560975,,,,
99,0.0,4000.0,1687,168000,42,-6571.45617247619,4000,6.599784322023392,0.001,3.5182375926077367
96,0.0,4000.0,1788,172000,43,-7399.688396139535,8000,6.019699657797814,0.001,9.956931447267532
92,0.0,4000.0,1894,176000,44,-8190.814680795454,12000,7.614604234099388,0.001,18.869401898384094
89,0.0,4000.0,2005,180000,45,-8891.077475777776,16000,11.79984244942665,0.001,31.239980819702147
87,0.0,4000.0,2104,184000,46,-9444.481003130435,20000,11.530729755878449,0.001,42.026806411743166
85,0.0,4000.0,2210,188000,47,-10145.939862085106,24000,11.778743310689926,0.001,51.85121967506409
83,0.0,4000.0,2309,192000,48,-10755.540927791666,28000,13.017470737695694,0.001,60.08345995521545
81,0.0,4000.0,2407,196000,49,-11281.462110183673,32000,14.242284507513046,0.001,66.96290480041503
79,0.0,4000.0,2512,200000,50,-11881.128900819998,36000,17.74019782423973,0.001,71.33651249694825
77,0.0,4000.0,2615,204000,51,-12406.530234431371,40000,16.516336176872255,0.001,77.6028885383606
76,0.0,4000.0,2715,208000,52,-12978.737781653843,44000,23.830530134916305,0.001,88.40326014328004
75,0.0,4000.0,2819,212000,53,-13410.494658075468,48000,21.768406158447267,0.001,100.13347106933594
73,0.0,3946.4074074074074,2885,213106,54,-13339.724719333331,52000,25.447381605148315,0.001,113.06682238388062
73,0.0,3947.3818181818183,2957,217106,55,-13834.269426163633,53106,29.88966865436078,0.001,119.2336993777946
72,0.0,3948.3214285714284,3056,221106,56,-14272.99265169643,57106,33.29439610767365,0.001,128.1164529914856
71,0.0,3949.2280701754385,3154,225106,57,-14659.517694368422,61106,34.03951310920716,0.001,129.7870016593933
70,0.0,3950.103448275862,3257,229106,58,-15101.855524051723,65106,35.60907800006866,0.001,133.2737346382141
69,0.0,3950.9491525423728,3358,233106,59,-15518.958984661016,69106,38.23347786331177,0.001,141.27554837799073
68,0.0,3951.766666666667,3455,237106,60,-15851.820006166667,73106,45.84120395231247,0.001,146.07973542022705
67,0.0,3952.55737704918,3556,241106,61,-16287.356625590164,77106,51.18471718072891,0.001,151.35462808227538
67,0.0,3953.3225806451615,3651,245106,62,-16477.950448112904,81106,52.121557698249816,0.001,159.089985748291
66,0.0,3925.2380952380954,3726,247290,63,-16439.97687577778,85106,51.17900272321701,0.001,163.9623208694458
66,0.0,3926.40625,3795,251290,64,-16262.150925140626,87290,49.82441032937158,0.001,168.12688773018974
65,0.0,3866.769230769231,3848,251340,65,-16012.08090736923,91290,51.08073125553131,0.001,166.99549962615967
65,0.0,3868.787878787879,3903,255340,66,-16392.23297522727,91340,60.39131286621094,0.001,168.4833856201172
64,0.0,3870.7462686567164,3998,259340,67,-16560.459805014925,95340,55.168469789505004,0.001,170.12525359344482
64,0.0,3872.6470588235293,4092,263340,68,-16687.90888360294,99340,59.067527555465695,0.001,176.87135153961182
63,0.0,3874.4927536231885,4189,267340,69,-16914.99600249275,103340,62.741134850502014,0.001,182.18201303100585
63,0.0,3876.285714285714,4287,271340,70,-17173.85122668571,107340,63.95597641468048,0.001,188.54279978179932
62,0.0,3877.6619718309857,4381,275314,71,-17297.23874466197,111340,65.74706817531586,0.001,196.1985221557617
62,0.0,3879.3611111111113,4488,279314,72,-17630.590696513886,115314,68.87845057606037,0.001,202.12453406554224
61,0.0,3881.013698630137,4587,283314,73,-17930.76740936986,119314,69.34435118484497,0.001,207.75650259399413
61,0.0,3882.6216216216217,4691,287314,74,-18247.516228108103,123314,81.10397783756257,0.001,218.89700247192383
60,0.0,3884.1866666666665,4795,291314,75,-18539.296481866662,127314,85.79460593891143,0.001,227.83821740722655
60,0.0,3885.7105263157896,4892,295314,76,-18715.240142144732,131314,88.80647217273712,0.001,236.1726859893799
59,0.0,3887.194805194805,4989,299314,77,-18873.52198680519,135314,95.08747351455689,0.001,247.6690910949707
59,0.0,3888.641025641026,5086,303314,78,-18996.42733144871,139314,95.36873382377624,0.001,251.91026822662354
59,0.0,3890.0506329113923,5186,307314,79,-19298.681266506323,143314,95.63980743408203,0.001,258.667558555603
58,0.0,3891.425,5283,311314,80,-19474.3060499375,147314,97.55463983917237,0.001,260.3194649734497
58,0.0,3892.7654320987654,5381,315314,81,-19751.526252074073,151314,106.11822544193268,0.001,264.90163890075684
58,0.0,3894.0731707317073,5475,319314,82,-19826.80764067073,155314,108.62465649700165,0.001,269.0387924041748
57,0.0,3895.3493975903616,5575,323314,83,-20105.70924860241,159314,107.79273448181152,0.001,273.0525112762451
57,0.0,3896.595238095238,5670,327314,84,-20187.08105555952,163314,108.05011618614196,0.001,288.21549305725097
57,0.0,3897.8117647058825,5771,331314,85,-20307.642996799994,167314,105.36166557025909,0.001,299.3687769165039
57,0.0,3883.4418604651164,5850,333976,86,-20209.67499197674,171314,132.04472803974153,0.001,312.71288943481443
56,0.0,3884.7816091954023,5933,337976,87,-20438.278444678155,173976,124.3908804285177,0.001,317.32123997299226
56,0.0,3886.090909090909,6029,341976,88,-20517.29449475,177976,126.85391574668884,0.001,315.8692674560547
56,0.0,3887.370786516854,6121,345976,89,-20479.50879549438,181976,126.71880833911895,0.001,318.2536192474365
56,0.0,3888.6222222222223,6214,349976,90,-20576.43926451111,185976,124.23893241500855,0.001,321.0288116149902
56,0.0,3889.846153846154,6308,353976,91,-20676.479578472525,189976,119.00469237995148,0.001,323.8399220733643
55,0.0,3891.0434782608695,6404,357976,92,-20691.04199348913,193976,123.8594189081192,0.001,329.26549374389646
55,0.0,3892.2150537634407,6511,361976,93,-20887.189590537633,197976,111.50727735424041,0.001,331.17918359375
55,0.0,3893.3617021276596,6605,365976,94,-20916.33664818085,201976,125.6017472295761,0.001,339.48040269470215
55,0.0,3894.4842105263156,6701,369976,95,-21108.673485157895,205976,123.49366123199462,0.001,345.2172881774902
54,0.0,3895.5833333333335,6806,373976,96,-21322.627966802083,209976,124.63165042495727,0.001,351.25825010681154
54,0.0,3896.659793814433,6908,377976,97,-21553.677444505152,213976,131.15796404933928,0.001,361.8324012451172
54,0.0,3897.714285714286,7008,381976,98,-21787.956273765303,217976,141.96645203399657,0.001,371.5594836273193
54,0.0,3898.747474747475,7102,385976,99,-21828.25372310101,221976,143.4204529685974,0.001,374.9741015472412
54,0.0,3899.76,7194,389976,100,-21793.400150229994,225976,140.30917218208313,0.001,373.0773481903076
54,0.0,3899.76,7290,393976,101,-22009.201617860002,229976,141.27496135425568,0.001,373.75495272827146
53,0.0,3899.76,7384,397976,102,-22246.484453709996,233976,145.87533160591124,0.001,380.8905480804443
53,0.0,3899.76,7487,401976,103,-22531.818769529997,237976,147.22948872184753,0.001,382.86225180053714
53,0.0,3899.76,7582,405976,104,-22749.587039379996,241976,166.98832458305358,0.001,396.7962880859375
53,0.0,3899.76,7677,409976,105,-23013.6178437,245976,160.78035703849793,0.001,402.1603180541992
53,0.0,3899.76,7773,413976,106,-23251.925448629994,249976,160.7868109035492,0.001,401.96553005981445
53,0.0,3899.76,7870,417976,107,-23571.64715316,253976,154.27683435821532,0.001,403.2881744842529
52,0.0,3899.76,7971,421976,108,-23934.59229662,257976,160.8035166320801,0.001,405.79013172912596
52,0.0,3899.76,8064,425976,109,-24064.137086100007,261976,163.48124181938172,0.001,412.8093961791992
52,0.0,3899.76,8160,429976,110,-24383.690443320003,265976,167.9673441619873,0.001,415.32557066345214
52,0.0,3899.76,8260,433976,111,-24707.504196570004,269976,166.40356583976745,0.001,418.6511671142578
52,0.0,3869.28,8322,434928,112,-24689.951321390003,273976,168.31652158164977,0.001,422.7875496673584
52,0.0,3869.28,8386,438928,113,-24992.145701919995,274928,173.92687068266028,0.001,421.83259524818226
52,0.0,3869.28,8492,442928,114,-25402.356039839997,278928,173.39948106193543,0.001,424.1189782409668
52,0.0,3869.28,8589,446928,115,-25691.238367699996,282928,179.74554084587098,0.001,427.9294899749756
51,0.0,3869.28,8686,450928,116,-25970.774173849994,286928,190.51713854789733,0.001,432.87867404174807
51,0.0,3829.49,8738,450949,117,-25950.93945053,290928,195.63237736701964,0.001,444.53151220703126
51,0.0,3829.49,8780,454949,118,-25990.681856599997,290949,235.4066623506092,0.001,444.7754760742188
51,0.0,3801.8,8844,456180,119,-25994.671381879998,294949,193.23634919929503,0.001,446.3781697540283
51,0.0,3801.8,8907,460180,120,-26257.548902249997,296180,188.80819878783487,0.001,446.68601479468407
51,0.0,3801.8,9010,464180,121,-26610.403297989997,300180,188.46562455749512,0.001,447.9025689086914
51,0.0,3801.8,9103,468180,122,-26819.16871236,304180,186.98836458206176,0.001,451.71101812744143
51,0.0,3801.8,9202,472180,123,-27126.087806469997,308180,191.4541367740631,0.001,451.36348402404786
51,0.0,3801.8,9298,476180,124,-27369.64179846999,312180,188.42543208122254,0.001,454.3604391784668
51,0.0,3778.31,9367,477831,125,-27380.497429249997,316180,190.79774833679198,0.001,459.07818649291994
50,0.0,3742.93,9395,478293,126,-27341.964666049997,317831,182.9299685491496,0.001,456.9159753787879
50,0.0,3722.49,9425,480249,127,-27514.91446252,318293,179.34913924246123,0.001,456.2472082360998
51,0.0,3722.49,9491,484249,128,-27556.85231134,320249,186.48713797196777,0.001,457.1693726210019
50,0.0,3722.49,9592,488249,129,-27849.01428893,324249,189.80581302261353,0.001,457.546042388916
50,0.0,3722.49,9685,492249,130,-27949.75349379,328249,193.31223085975648,0.001,460.6887678222656
50,0.0,3722.49,9783,496249,131,-28298.006422060003,332249,198.2674897918701,0.001,460.52170030212403
50,0.0,3722.49,9879,500249,132,-28562.08172197,336249,201.77828546905516,0.001,461.3980844573975
50,0.0,3711.83,9960,503183,133,-28589.93028064,340249,198.34709291648863,0.001,459.68757180786133
50,0.0,3711.83,10039,507183,134,-28681.31872016,343183,203.11581045149455,0.001,458.11609071862887
50,0.0,3711.83,10137,511183,135,-28877.077536070003,347183,196.51519349479676,0.001,455.3966053466797
50,0.0,3711.83,10235,515183,136,-29147.106432579996,351183,214.60371693992616,0.001,460.064838180542
50,0.0,3711.83,10338,519183,137,-29543.115859430003,355183,216.80354827690124,0.001,462.29213745117187
50,0.0,3711.83,10434,523183,138,-29830.348183169997,359183,212.30813526725768,0.001,466.84028829956054
50,0.0,3711.83,10533,527183,139,-30190.958782349993,363183,222.02902687835694,0.001,469.8812731323242
49,0.0,3711.83,10627,531183,140,-30408.92558265,367183,232.59941018676759,0.001,475.0767995300293
49,0.0,3711.83,10724,535183,141,-30462.73374775,371183,236.56811886024474,0.001,475.68547331237795
49,0.0,3711.83,10824,539183,142,-30461.68047223,375183,240.1291968383789,0.001,477.1836426239014
49,0.0,3711.83,10925,543183,143,-30396.0365287,379183,243.4495823097229,0.001,479.60398637390136
49,0.0,3711.83,11019,547183,144,-30146.884022520004,383183,258.03016387557983,0.001,486.26855305480956
49,0.0,3673.93,11074,547393,145,-29770.809692530005,387183,258.157533908844,0.001,487.9090006713867
49,0.0,3673.93,11121,551393,146,-29713.60001747001,387393,259.9050400506882,0.001,488.8796564011347
49,0.0,3673.93,11221,555393,147,-29656.177613530002,391393,269.070426071167,0.001,489.2056101074219
49,0.0,3673.93,11318,559393,148,-29591.330213229998,395393,274.24504990386964,0.001,492.7991249847412
49,0.0,3673.93,11411,563393,149,-29442.675370959998,399393,298.48101781463623,0.001,498.19717770385745
49,0.0,3635.66,11466,563566,150,-29031.809735409995,403393,308.08121476745606,0.001,501.65123579406736
49,0.0,3635.66,11513,567566,151,-28912.868676069993,403566,289.29480853659567,0.001,501.83531346814385
49,0.0,3635.66,11615,571566,152,-28893.123834739992,407566,280.9860357398987,0.001,500.6648999938965
49,0.0,3635.66,11717,575566,153,-28912.721343209996,411566,281.92164671325685,0.001,503.55534857177736
49,0.0,3664.6,11813,579566,154,-29177.486665649994,415566,298.58368994140625,0.001,505.78344985961917
48,0.0,3664.6,11910,583566,155,-29050.8859728,419566,285.7478596534729,0.001,502.8259743957519
48,0.0,3628.56,11968,583962,156,-28700.72053599,423566,286.3338268737793,0.001,502.59295225524903
48,0.0,3628.56,12018,587962,157,-28614.79117473,423962,306.3639544092043,0.001,501.6846578578756
48,0.0,3628.56,12116,591962,158,-28556.69125556,427962,312.03306103134156,0.001,501.7940690460205
48,0.0,3628.56,12214,595962,159,-28520.73636461,431962,313.3984651641846,0.001,506.1332904510498
48,0.0,3628.56,12310,599962,160,-28481.24924466999,435962,318.8124405708313,0.001,510.12892445373535
48,0.0,3628.56,12416,603962,161,-28476.981604989996,439962,308.3366058921814,0.001,512.5615708618164
48,0.0,3628.56,12511,607962,162,-28484.20067834,443962,294.5737691955566,0.001,515.5429223785401
48,0.0,3646.72,12610,611962,163,-28762.02617037,447962,294.154989730835,0.001,517.6260840301513
48,0.0,3646.72,12705,615962,164,-28979.02465427,451962,299.24756202697756,0.001,523.0946049194336
48,0.0,3686.22,12801,619962,165,-29277.891878620005,455962,314.75161357879637,0.001,525.8766511230468
48,0.0,3671.19,12879,622459,166,-28937.52472997,459962,319.30308340454104,0.001,524.6430888519287
48,0.0,3658.94,12942,625234,167,-28819.504970359998,462459,335.9361568354682,0.001,526.8058107327192
48,0.0,3658.94,13025,629234,168,-28906.726787469994,465234,334.74982801832596,0.001,526.9899747996922
48,0.0,3658.94,13121,633234,169,-28847.625579989995,469234,344.7624808006287,0.001,528.0674579772949
48,0.0,3620.11,13175,633351,170,-28498.253465719998,473234,334.0928853034973,0.001,529.3333220214844
48,0.0,3620.37,13222,637351,171,-28489.40847005,473351,335.45469913319647,0.001,528.9804140288254
48,0.0,3620.37,13323,641351,172,-28421.585242589998,477351,338.0880822792053,0.001,529.7445449523926
48,0.0,3620.37,13422,645351,173,-28353.087288739996,481351,328.44606034469604,0.001,528.1529953918457
48,0.0,3620.37,13518,649351,174,-28243.97116226,485351,335.1323993988037,0.001,527.6250896606446
47,0.0,3620.37,13618,653351,175,-28263.839934689997,489351,327.2597989883423,0.001,525.5761114807129
47,0.0,3618.39,13716,657153,176,-28278.11370198,493351,325.9208130302429,0.001,529.1002507324218
47,0.0,3618.39,13812,661153,177,-28219.53041045,497153,330.9555873599948,0.001,528.8319355394262
47,0.0,3618.39,13909,665153,178,-28213.371016590005,501153,323.28249750900267,0.001,530.3564445800781
47,0.0,3618.39,14015,669153,179,-28193.775307370004,505153,326.5607644767761,0.001,529.6448708496093
47,0.0,3618.39,14113,673153,180,-28174.001510930004,509153,347.6035152168274,0.001,540.3001743164062
47,0.0,3618.39,14207,677153,181,-27860.02552942,513153,355.8474962997436,0.001,541.2612985839844
47,0.0,3618.39,14304,681153,182,-27877.834756120003,517153,352.9189453239441,0.001,540.2753791503907
47,0.0,3618.39,14400,685153,183,-27602.7141716,521153,349.8159084854126,0.001,545.0937556762696
47,0.0,3618.39,14496,689153,184,-27523.459733609998,525153,339.7438318824768,0.001,544.1502338867188
47,0.0,3618.39,14589,693153,185,-27311.855271959997,529153,348.13595141983035,0.001,541.9484063720703
47,0.0,3631.77,14691,697153,186,-27589.78031906,533153,346.8717025527954,0.001,540.2482904663086
47,0.0,3631.77,14789,701153,187,-27425.52739283,537153,338.3325667991638,0.001,539.1405433044433
47,0.0,3631.77,14887,705153,188,-27428.85653648,541153,338.1917994003296,0.001,536.5824786376953
47,0.0,3596.06,14946,705582,189,-27259.7661182,545153,344.9700593528747,0.001,537.0216060791016
47,0.0,3596.06,14994,709582,190,-27065.863419170004,545582,330.63253261326076,0.001,535.8745074604833
47,0.0,3596.06,15091,713582,191,-27019.81759862,549582,368.4272740364075,0.001,540.7692009887695
47,0.0,3596.06,15200,717582,192,-27218.101905359992,553582,361.41114810180665,0.001,538.9097694702149
47,0.0,3596.06,15300,721582,193,-27167.77533556,557582,355.3657052459717,0.001,539.3029516601563
47,0.0,3596.06,15406,725582,194,-27346.345613460002,561582,362.13925528335574,0.001,539.0124900207519
47,0.0,3596.06,15506,729582,195,-27301.549604369997,565582,365.9702788543701,0.001,537.1197210998536
47,0.0,3596.06,15605,733582,196,-27142.43268333,569582,364.6643898200989,0.001,536.6864744873047
46,0.0,3596.06,15704,737582,197,-26971.2823372,573582,394.2769908828735,0.001,534.8855918579102
46,0.0,3596.06,15805,741582,198,-26911.633529929997,577582,384.7212689285278,0.001,532.0415803527832
46,0.0,3596.06,15907,745582,199,-27042.15950553,581582,391.7347640571594,0.001,533.8874209899902
46,0.0,3596.06,16004,749582,200,-27055.56453901,585582,377.8635984992981,0.001,537.5487477416992
46,0.0,3596.06,16099,753582,201,-26960.110689530004,589582,380.9346794166565,0.001,536.513243774414
46,0.0,3596.06,16199,757582,202,-26999.29506924,593582,376.65281295013426,0.001,534.9456886901855
46,0.0,3596.06,16297,761582,203,-26923.13613332,597582,375.0292338447571,0.001,533.5054824829101
