time/episodes,time/total timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success rate,time/time_elapsed,time/fps,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
558,2006695,3609.6,-18327.19279546,0.0,43,45679,,,,
559,2010695,3609.6,-18568.413000859997,0.0,139,14454,1846695,0.001,685.3936635589599,532.9828403015136
560,2014695,3609.6,-18656.020174690002,0.0,231,8691,1850695,0.001,677.302400970459,532.5346311950684
561,2018695,3609.6,-18560.75663632,0.0,323,6235,1854695,0.001,682.9855262908935,531.2651793518066
562,2022695,3609.6,-18422.7021026,0.0,415,4868,1858695,0.001,683.3917024993897,531.4146987609863
563,2026695,3609.6,-18464.83969781,0.0,508,3988,1862695,0.001,689.7130057373047,529.2041121368409
564,2030695,3646.31,-18524.46656377,0.0,599,3386,1866695,0.001,684.247384185791,529.4237408447266
565,2034695,3646.31,-18444.656577219997,0.0,696,2920,1870695,0.001,689.5906421813964,530.7237142028808
566,2038695,3684.6,-18790.950130209996,0.0,798,2552,1874695,0.001,686.1058157348633,533.8807952880859
567,2039941,3657.06,-18450.54341404,0.0,863,2362,1878695,0.001,674.0054765472412,534.0498776550293
568,2043941,3657.06,-18425.1749215,0.0,923,2213,1879941,0.001,684.4421840808557,534.3079865334696
569,2047941,3657.06,-18384.768518320005,0.0,1016,2014,1883941,0.001,690.2640560913086,534.7026891174316
570,2048142,3619.07,-18101.79504931,0.0,1071,1911,1887941,0.001,693.4752670898438,538.5075431213379
571,2052142,3621.31,-18206.44084053,0.0,1119,1833,1888142,0.001,684.9133996156911,538.3170546729966
572,2056142,3621.31,-18174.16544781,0.0,1214,1692,1892142,0.001,694.6352545318604,541.9825210876464
573,2060142,3639.68,-18228.98080929,0.0,1308,1574,1896142,0.001,722.349886932373,544.5281698608399
574,2064142,3673.51,-18539.959181790004,0.0,1404,1469,1900142,0.001,721.5001924133301,544.5783462219239
575,2068142,3673.51,-18439.54512397,0.0,1497,1381,1904142,0.001,702.5971260223389,541.8832851257324
576,2071742,3669.51,-18538.974037500004,0.0,1588,1304,1908142,0.001,713.933452911377,539.8932882080078
577,2075742,3669.51,-18192.02847914,0.0,1674,1239,1911742,0.001,724.3712145826552,541.6215137396919
578,2079742,3669.51,-18199.591432950005,0.0,1767,1176,1915742,0.001,704.27687991333,540.5617811584473
579,2083742,3671.91,-18355.31801968,0.0,1861,1119,1919742,0.001,702.4646188659668,539.8533006591797
580,2087167,3666.16,-18361.17021166,0.0,1947,1071,1923742,0.001,720.9734679870605,540.1557030944824
