train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/fps,rollout/success rate,train/actor_loss,rollout/ep_len_mean,train/learning_rate,time/total timesteps
3853674,149,1127,-19152.07416108,2181.0433157958983,26772,0.0,625.4691783447265,3402.45,0.001,4014674
3855674,175,1128,-19088.11064393,2043.9478724365235,22885,0.0,636.2766772460938,3375.26,0.001,4015955
3865674,338,1129,-19443.330953499997,1996.2486580810546,11898,0.0,687.3983972167969,3435.26,0.001,4025955
3875674,487,1130,-19494.865623409998,1826.1423256835938,8278,0.0,723.8088846435547,3495.26,0.001,4035955
,495,1131,-19430.452254359996,,8151,0.0,,3459.94,,4036423
3885674,659,1132,-20081.441223629998,1698.8888950195312,6132,0.0,755.7828956298828,3519.94,0.001,4046423
3895674,807,1133,-20156.507495309997,1628.7547840576171,5025,0.0,780.6601080322266,3574.32,0.001,4055861
3905674,971,1134,-20931.27722234,1487.0976636962891,4186,0.0,795.0902631835937,3670.93,0.001,4065861
3913674,1091,1135,-21219.306299930002,1444.0417840576172,3732,0.0,807.0472836914063,3748.6,0.001,4073723
3923674,1245,1136,-21502.87220368,1299.7459077148437,3277,0.0,815.6611004638672,3808.6,0.001,4083723
3933674,1397,1137,-21679.33317195,1225.10396484375,2929,0.0,821.3609891357422,3868.6,0.001,4093723
3934674,1416,1138,-21383.115027069998,1267.5606947021483,2890,0.0,821.6151121826172,3840.3,0.001,4094893
3939674,1495,1139,-21398.435256629997,1234.2830422363281,2740,0.0,822.4796673583984,3850.69,0.001,4099932
3949674,1651,1140,-21895.166581629994,1175.354019165039,2489,0.0,826.8639373779297,3910.69,0.001,4109932
3958674,1788,1141,-22263.940541049997,1080.4809691772462,2302,0.0,827.5014040527344,3993.09,0.001,4118861
3968674,1935,1142,-22257.765387659994,1000.8338633422852,2133,0.0,821.9954886474609,4053.09,0.001,4128861
3973674,2018,1143,-22262.35709268,985.910797241211,2047,0.0,818.6629230957031,4064.75,0.001,4134027
3983674,2168,1144,-22132.769358719997,975.6393392944336,1911,0.0,810.0491501464844,4124.75,0.001,4144027
3993674,2317,1145,-22082.85883965,882.9348489990234,1792,0.0,799.5737088623047,4184.75,0.001,4154027
