rollout/success rate,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total timesteps,train/actor_loss,train/n_updates,train/learning_rate
0.0,22.969735942840575,5476.08,42373,141,1441,-8961.109622340002,6014658,194.9376291809082,5853674,0.001
0.0,24.2827020778656,5473.65,39693,151,1442,-8959.4618206,6014809,195.18475219726562,5854674,0.001
0.0,23.14508717250824,5473.65,20237,297,1443,-8524.47346856,6024809,193.5417579650879,5864674,0.001
0.0,22.654470091819764,5473.65,13307,453,1444,-9007.525717419998,6034809,195.72826602172853,5874674,0.001
0.0,22.389954087257387,5512.03,11726,514,1445,-9011.75735088,6038989,195.93044232177735,5878674,0.001
0.0,23.062326172828673,5550.4,10526,574,1446,-9031.69092367,6042946,196.02480462646486,5882674,0.001
0.0,22.315386292457582,5520.91,9733,621,1447,-9031.99579132,6045949,195.66708721923828,5885674,0.001
0.0,21.658280871391295,5551.99,7902,766,1448,-9053.62525082,6055949,192.2751151123047,5895674,0.001
0.0,21.821798303604126,5551.99,6629,915,1449,-9240.52676878,6065949,192.72362655639648,5905674,0.001
0.0,,5477.17,6569,923,1450,-9222.84424718,6066492,,,
0.0,22.731590923309327,5382.87,6475,936,1451,-9119.04949492,6067062,192.47377899169922,5906674,0.001
0.0,,5284.88,6440,942,1452,-9070.490181059999,6067263,,,
0.0,21.979923115730287,5345.7,5796,1047,1453,-9105.96972514,6074500,190.07298150634765,5913674,0.001
0.0,21.467977967262268,5438.15,5090,1195,1454,-9143.49637542,6084159,189.78691900634766,5923674,0.001
0.0,22.308745935440065,5473.7,4849,1255,1455,-9213.80875183,6088133,188.93932034301758,5927674,0.001
0.0,21.409887435913085,5478.15,4746,1283,1456,-9203.90287775,6089734,188.64544912719725,5929674,0.001
0.0,,5480.07,4715,1291,1457,-9205.89698695,6090311,,,
0.0,,5422.77,4697,1296,1458,-9176.244801570001,6090511,,,
0.0,21.932594213485718,5466.87,4222,1444,1459,-9450.32013366,6100511,188.52247799682618,5939674,0.001
0.0,23.3157530670166,5563.63,3832,1594,1460,-9833.32002952,6110511,190.6937471923828,5949674,0.001
0.0,22.857653524398803,5563.63,3518,1739,1461,-9714.944204809999,6120511,190.42744567871094,5959674,0.001
0.0,22.34271106815338,5469.78,3491,1753,1462,-9652.848187290001,6121126,190.56689624023437,5960674,0.001
0.0,23.192758932113648,5474.22,3461,1768,1463,-9653.315671240001,6121890,190.5536194458008,5961674,0.001
0.0,,5423.19,3446,1776,1464,-9424.75787037,6122396,,,
0.0,23.42172631263733,5506.41,3188,1923,1465,-9599.61838881,6132396,190.95802743530274,5971674,0.001
0.0,23.19481520175934,5506.41,2966,2070,1466,-9448.706869070003,6142396,191.19976544189453,5981674,0.001
0.0,23.160778371810913,5415.11,2943,2086,1467,-9075.649081570002,6143266,191.2064592590332,5982674,0.001
0.0,24.987809986114502,5417.14,2914,2108,1468,-9024.289039890002,6144651,191.3089133605957,5983674,0.001
0.0,23.358461323738098,5357.59,2826,2175,1469,-8791.154949930002,6148696,190.90090728759765,5988674,0.001
0.0,22.942707708358764,5357.59,2651,2323,1470,-8770.95084703,6158696,191.01008697509766,5998674,0.001
0.0,22.07811733818054,5357.59,2497,2470,1471,-8772.44491351,6168696,191.24462957763672,6008674,0.001
0.0,,5359.03,2490,2477,1472,-8772.356382420001,6169125,,,
0.0,22.2029959192276,5424.83,2352,2626,1473,-8763.408628390001,6179125,191.15898126220702,6018674,0.001
0.0,21.616466398239137,5424.83,2230,2774,1474,-8712.71688096,6189125,190.43642849731447,6028674,0.001
0.0,21.258784457206726,5424.83,2121,2922,1475,-8712.581648700001,6199125,190.43346041870117,6038674,0.001
0.0,21.108993315696715,5424.83,2008,3091,1476,-9608.86081539,6209125,192.61622735595702,6048674,0.001
0.0,21.359896492004395,5424.83,1919,3240,1477,-9583.09959694,6219125,193.72565676879884,6058674,0.001
0.0,20.648362632751464,5459.1,1838,3388,1478,-9622.990310629999,6229125,194.24836367797852,6068674,0.001
0.0,21.365896211624147,5550.49,1761,3541,1479,-9976.92119174,6239125,194.80922369384766,6078674,0.001
0.0,21.473338025093078,5500.52,1725,3618,1480,-9639.449864999999,6244128,195.72281689453126,6083674,0.001
0.0,21.640692034721376,5594.32,1657,3772,1481,-10051.07749414,6254128,196.22298611450196,6093674,0.001
0.0,21.305439052581786,5594.32,1597,3921,1482,-10061.236222929998,6264128,195.91345022583008,6103674,0.001
0.0,21.14177906703949,5687.11,1540,4072,1483,-10390.13295,6274128,196.68963336181642,6113674,0.001
0.0,21.30772727775574,5772.44,1488,4221,1484,-10440.247142319997,6284128,197.42084750366212,6123674,0.001
0.0,22.955632776260376,5772.44,1439,4371,1485,-10269.76190812,6294128,197.27824462890624,6133674,0.001
0.0,21.784814400672914,5859.26,1394,4519,1486,-10316.425489109999,6304128,198.52492416381835,6143674,0.001
0.0,21.116583974838257,5859.26,1352,4667,1487,-10056.73835557,6314128,196.70296783447264,6153674,0.001
0.0,20.882284870147704,5934.13,1313,4815,1488,-10080.37639175,6324128,193.510203704834,6163674,0.001
0.0,20.95053704929352,5947.16,1276,4963,1489,-9948.432352609998,6334128,193.79581564331053,6173674,0.001
0.0,20.677177496910094,6032.92,1241,5111,1490,-9990.957738430001,6344128,192.646662689209,6183674,0.001
0.0,,5938.13,1239,5119,1491,-9940.21793606,6344649,,,
0.0,22.316180473327638,6012.63,1210,5247,1492,-10482.50647606,6352506,194.55092224121094,6191674,0.001
0.0,22.180175998687744,6094.32,1179,5395,1493,-10575.530241409999,6362506,192.477804107666,6201674,0.001
0.0,21.725094893455505,6016.68,1171,5434,1494,-9569.214504709998,6364742,192.5340112915039,6204674,0.001
0.0,21.954288219451904,6033.25,1164,5467,1495,-9573.43017828,6366785,192.07038024902343,6206674,0.001
0.0,22.458430945396422,6033.25,1133,5623,1496,-10045.781265569998,6376785,193.56340576171874,6216674,0.001
0.0,21.22805871295929,5952.85,1127,5655,1497,-9995.451731619998,6378745,193.34277374267577,6218674,0.001
0.0,,5879.47,1126,5663,1498,-9514.180755139998,6379195,,,
0.0,,5781.32,1125,5668,1499,-9180.284972469997,6379380,,,
0.0,21.774923970222474,5834.44,1098,5817,1500,-9192.398178599999,6389380,194.1127494506836,6228674,0.001
0.0,21.760159193992614,5834.44,1072,5968,1501,-9406.407208309998,6399380,195.43496313476564,6238674,0.001
0.0,22.422376692771913,5834.44,1047,6118,1502,-9471.588809870002,6409380,194.98757778930664,6248674,0.001
0.0,22.887764616012575,5895.92,1024,6268,1503,-9558.488473500001,6419380,195.3648630371094,6258674,0.001
0.0,,5797.33,1023,6272,1504,-9079.877699510002,6419521,,,
0.0,20.788744975090026,5797.33,1001,6420,1505,-9098.24570798,6429521,194.18062213134766,6268674,0.001
0.0,21.952487981796263,5796.37,991,6490,1506,-9022.473568160001,6433858,191.19585360717772,6273674,0.001
0.0,21.193859776496886,5849.57,970,6637,1507,-9054.10661125,6443858,190.6641565551758,6283674,0.001
0.0,21.671014609336854,5872.28,966,6672,1508,-9067.67990705,6446305,190.88155725097656,6285674,0.001
0.0,21.214868616104127,5876.62,963,6688,1509,-9068.74270268,6447169,190.50241372680665,6286674,0.001
0.0,21.242756454467774,5973.97,944,6833,1510,-9105.742274960001,6457169,189.2962319641113,6296674,0.001
