time/total timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/success rate,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
10000,10000.0,107,1,93,-8329.434245,0.0,,,,
20000,10000.0,107,2,185,-13729.3069975,0.0,,,,
30000,10000.0,108,3,276,-11746.722865666665,0.0,,,,
40000,10000.0,108,4,367,-11014.004799749999,0.0,,,,
50000,10000.0,108,5,459,-11666.249678799999,0.0,,,,
60000,10000.0,109,6,550,-12145.226536666667,0.0,,,,
70000,10000.0,108,7,642,-14740.005157285716,0.0,,,,
80000,10000.0,109,8,733,-14406.19038175,0.0,,,,
90000,10000.0,109,9,824,-14669.994466111113,0.0,,,,
100000,10000.0,109,10,917,-14892.269298000003,0.0,,,,
110000,10000.0,109,11,1007,-15176.92683218182,0.0,,,,
120000,10000.0,109,12,1098,-15336.592431166668,0.0,,,,
130000,10000.0,109,13,1187,-15633.934748615384,0.0,,,,
140000,10000.0,109,14,1278,-15864.543735142857,0.0,,,,
150000,10000.0,109,15,1370,-16002.8513704,0.0,,,,
160000,10000.0,109,16,1461,-16728.6292388125,0.0,,,,
170000,10000.0,109,17,1551,-16074.066385470587,0.0,,,,
180000,10000.0,109,18,1641,-15939.76388711111,0.0,,,,
190000,10000.0,109,19,1731,-15792.327546210525,0.0,,,,
200000,10000.0,109,20,1822,-15712.9828346,0.0,,,,
210000,10000.0,109,21,1913,-15339.850201999998,0.0,,,,
220000,10000.0,109,22,2005,-15517.1969195,0.0,,,,
230000,10000.0,109,23,2096,-15331.195491695653,0.0,,,,
240000,10000.0,109,24,2187,-15266.103807166668,0.0,,,,
250000,10000.0,109,25,2279,-15467.676476440001,0.0,,,,
260000,10000.0,109,26,2369,-15182.800206346155,0.0,,,,
270000,10000.0,109,27,2460,-14716.245446555558,0.0,,,,
280000,10000.0,109,28,2550,-14658.817908178575,0.0,,,,
290000,10000.0,109,29,2641,-14707.14168548276,0.0,,,,
300000,10000.0,109,30,2732,-14698.041281233336,0.0,,,,
