time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/success rate,time/total timesteps,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
13011,154,201,10000.0,0.0,2010000,113383.53657431003,0.001,3970.5238342285156,-474.8363137207031,8853674
6437,313,202,10000.0,0.0,2020000,117224.65877059002,0.001,4496.883116210937,-513.9699325561523,8863674
4151,488,203,10000.0,0.0,2030000,116250.21363419,0.001,4277.756169677735,-514.5024753112793,8873674
3136,650,204,10000.0,0.0,2040000,116152.25634531998,0.001,4332.149372558593,-492.2299652404785,8883674
2516,814,205,10000.0,0.0,2050000,114633.02280601,0.001,4242.151309082031,-477.72603210449216,8893674
2122,970,206,10000.0,0.0,2060000,114977.87727864999,0.001,4981.093552246094,-421.6936447753906,8903674
1852,1117,207,10000.0,0.0,2070000,115509.42977637,0.001,4888.925284423828,-408.9919867630005,8913674
1647,1262,208,10000.0,0.0,2080000,124049.63605118002,0.001,5320.64015625,-445.9293845825195,8923674
1478,1413,209,10000.0,0.0,2090000,123858.16113926003,0.001,4979.894243164063,-447.7518046875,8933674
1347,1558,210,10000.0,0.0,2100000,124914.34740775,0.001,4658.128611816406,-445.63216146850584,8943674
1226,1720,211,10000.0,0.0,2110000,125015.51624667001,0.001,5000.573049072265,-484.7956311340332,8953674
1120,1892,212,10000.0,0.0,2120000,123877.2835455,0.001,4818.091699707032,-501.1552540588379,8963674
1045,2037,213,10000.0,0.0,2130000,124799.68790308999,0.001,4832.311160644531,-528.991543334961,8973674
979,2184,214,10000.0,0.0,2140000,132588.78736934,0.001,4894.778864501953,-567.4812711791992,8983674
922,2330,215,10000.0,0.0,2150000,131588.77731776,0.001,4172.547737792969,-576.762767211914,8993674
872,2476,216,10000.0,0.0,2160000,130542.80542520001,0.001,4055.4983518066406,-553.498762512207,9003674
823,2634,217,10000.0,0.0,2170000,129903.94359294,0.001,4131.698934570312,-530.159466003418,9013674
783,2782,218,10000.0,0.0,2180000,138125.15864141,0.001,4986.713130859375,-555.9344364318848,9023674
748,2927,219,10000.0,0.0,2190000,147771.75119707003,0.001,5466.92178491211,-563.8072822265625,9033674
713,3084,220,10000.0,0.0,2200000,147130.77064012003,0.001,5044.631954101563,-536.6527337646485,9043674
681,3245,221,10000.0,0.0,2210000,143652.56002988003,0.001,4546.236768310547,-504.51298223876955,9053674
654,3392,222,10000.0,0.0,2220000,142831.9827585,0.001,4430.985639648437,-497.02844857788085,9063674
627,3555,223,10000.0,0.0,2230000,142333.58151464,0.001,4317.592585693359,-522.2600254821778,9073674
605,3701,224,10000.0,0.0,2240000,152019.27817401002,0.001,5586.832380859375,-564.0114156799316,9083674
581,3871,225,10000.0,0.0,2250000,152010.06896570002,0.001,4845.377072509766,-587.7322988891601,9093674
560,4031,226,10000.0,0.0,2260000,151246.87775455,0.001,4941.888203125,-601.8287003479004,9103674
542,4180,227,10000.0,0.0,2270000,156600.62147595998,0.001,5322.291446044922,-643.8522270507813,9113674
526,4328,228,10000.0,0.0,2280000,156575.88950679998,0.001,5202.9210031738285,-659.2098262329101,9123674
511,4474,229,10000.0,0.0,2290000,163874.91087932,0.001,5252.35599584961,-686.1766414794922,9133674
497,4621,230,10000.0,0.0,2300000,168275.04088839996,0.001,6196.113873046875,-732.2293400268554,9143674
484,4767,231,10000.0,0.0,2310000,169223.24683403,0.001,6423.032370605469,-737.7109638671875,9153674
470,4933,232,10000.0,0.0,2320000,169042.95770436001,0.001,6456.3209951171875,-711.7551929931641,9163674
458,5080,233,10000.0,0.0,2330000,169420.55494966,0.001,6412.828180175781,-711.2556608276367,9173674
447,5225,234,10000.0,0.0,2340000,179228.42202535004,0.001,7038.942970703125,-769.9554243164063,9183674
436,5380,235,10000.0,0.0,2350000,181900.93594678,0.001,6730.507106933594,-784.3704069824219,9193674
426,5531,236,10000.0,0.0,2360000,190933.85399529999,0.001,7247.074770996093,-820.3322196655273,9203674
416,5687,237,10000.0,0.0,2370000,187810.38633823994,0.001,6666.54114453125,-822.8209755859375,9213674
406,5860,238,10000.0,0.0,2380000,186818.31329723998,0.001,6975.2104658203125,-854.863939453125,9223674
397,6007,239,10000.0,0.0,2390000,186777.89699249997,0.001,7078.456261230469,-911.0639233398438,9233674
389,6160,240,10000.0,0.0,2400000,183374.69703211,0.001,7043.720948730469,-930.1096766357422,9243674
381,6313,241,10000.0,0.0,2410000,173408.22925834998,0.001,6670.204631835937,-857.3988530273438,9253674
374,6459,242,10000.0,0.0,2420000,172116.88220364,0.001,6541.559375488281,-846.6035360107422,9263674
367,6608,243,10000.0,0.0,2430000,177970.42320705001,0.001,6900.347625,-862.7872181396484,9273674
361,6754,244,10000.0,0.0,2440000,185981.36801008,0.001,6663.52242578125,-919.4532292480469,9283674
354,6903,245,10000.0,0.0,2450000,186384.35615548998,0.001,6641.776932128906,-967.0487292480469,9293674
348,7048,246,10000.0,0.0,2460000,193118.39328193996,0.001,6983.99230078125,-1033.7715078125,9303674
342,7218,247,10000.0,0.0,2470000,192141.79811168998,0.001,6471.752754882813,-1063.0819990234374,9313674
336,7364,248,10000.0,0.0,2480000,196445.51103595,0.001,6865.0228271484375,-1129.9264884033203,9323674
330,7534,249,10000.0,0.0,2490000,190302.77428600003,0.001,6872.828201171875,-1077.9997462158203,9333674
